MATS ID,Time,Latitude,Longitude,group_id
13162,2022-12-29 19:58:02.953353882+00:00,-71.43806636396741,120.4947120847662,1
13163,2022-12-29 19:58:08.953338623+00:00,-71.77481806952369,119.92931018631688,1
13164,2022-12-29 19:58:14.953323364+00:00,-72.1100912465083,119.33686694320008,1
13165,2022-12-29 19:58:20.953308105+00:00,-72.44108481244007,118.73368386826276,1
13166,2022-12-29 19:58:26.953292847+00:00,-72.77280045781409,118.09930026583108,1
13167,2022-12-29 19:58:32.953277588+00:00,-73.10224148386597,117.4434068176398,1
13168,2022-12-29 19:58:38.953262329+00:00,-73.42820578113292,116.77178633067508,1
13169,2022-12-29 19:58:44.953247070+00:00,-73.75461522518498,116.06337216374972,1
13170,2022-12-29 19:58:50.953231812+00:00,-74.07718501632617,115.33336962853696,1
13171,2022-12-29 19:58:56.953216553+00:00,-74.39640800446773,114.5809938267738,1
13172,2022-12-29 19:59:02.953201294+00:00,-74.71266799125617,113.7922259781118,1
13172,2022-12-29 19:59:02.953201294+00:00,-74.71266799125617,113.7922259781118,2
13173,2022-12-29 19:59:08.953186035+00:00,-75.02842598110053,112.97116293838816,1
13173,2022-12-29 19:59:08.953186035+00:00,-75.02842598110053,112.97116293838816,2
13174,2022-12-29 19:59:14.953170776+00:00,-75.34110175660469,112.12122970474935,2
13174,2022-12-29 19:59:14.953170776+00:00,-75.34110175660469,112.12122970474935,1
13175,2022-12-29 19:59:20.953140259+00:00,-75.64848431238644,111.23527744432556,1
13175,2022-12-29 19:59:20.953140259+00:00,-75.64848431238644,111.23527744432556,2
13176,2022-12-29 19:59:26.953125+00:00,-75.9544708120933,110.31332152541312,1
13176,2022-12-29 19:59:26.953125+00:00,-75.9544708120933,110.31332152541312,2
13177,2022-12-29 19:59:32.953109741+00:00,-76.25863470842332,109.337976319262,2
13177,2022-12-29 19:59:32.953109741+00:00,-76.25863470842332,109.337976319262,1
13178,2022-12-29 19:59:38.953094482+00:00,-76.55522981595867,108.34115888097529,1
13178,2022-12-29 19:59:38.953094482+00:00,-76.55522981595867,108.34115888097529,2
13179,2022-12-29 19:59:44.953079224+00:00,-76.85003037951141,107.30092974594422,2
13180,2022-12-29 19:59:50.953063965+00:00,-77.13891388234929,106.21136184727612,2
13181,2022-12-29 19:59:56.953048706+00:00,-77.42623562598345,105.06359401871232,2
13182,2022-12-29 20:00:02.953033447+00:00,-77.70623787339306,103.87498732402462,2
13183,2022-12-29 20:00:08.953018188+00:00,-77.9822967050648,102.63104744511266,2
13184,2022-12-29 20:00:14.953002930+00:00,-78.25201747393895,101.32862174388346,2
13185,2022-12-29 20:00:20.952987671+00:00,-78.51781327525116,99.98068089501986,2
13186,2022-12-29 20:00:26.952972412+00:00,-78.77523540663952,98.5534330332385,2
13187,2022-12-29 20:00:32.952957153+00:00,-79.02457031366555,97.08370964666472,2
13188,2022-12-29 20:00:38.952941895+00:00,-79.26996773685059,95.52959383974633,2
13189,2022-12-29 20:00:44.952926636+00:00,-79.50519232056037,93.91945459644866,2
13190,2022-12-29 20:00:50.952911377+00:00,-79.73382098798791,92.21894424392924,2
13191,2022-12-29 20:00:56.952896118+00:00,-79.95131535759774,90.47897012587664,2
13192,2022-12-29 20:01:02.952865601+00:00,-80.16088259695016,88.63125349587226,2
13193,2022-12-29 20:01:08.952850342+00:00,-80.36092627841312,86.72577109712097,2
13194,2022-12-29 20:01:14.952835083+00:00,-80.5484371496492,84.74122047571296,2
13614,2022-12-29 23:09:58.958511353+00:00,-67.63784988800096,77.46408396078648,3
13615,2022-12-29 23:10:04.958511353+00:00,-67.98977669224105,77.05529797169629,3
13616,2022-12-29 23:10:10.958511353+00:00,-68.3369347487109,76.64174415885111,3
13617,2022-12-29 23:10:16.958511353+00:00,-68.68291972939205,76.21400869614749,3
13618,2022-12-29 23:10:22.958496094+00:00,-69.03150566763145,75.76700899430611,3
13619,2022-12-29 23:10:28.958511353+00:00,-69.37471654033074,75.31682522474456,3
13620,2022-12-29 23:10:34.958511353+00:00,-69.72260984333496,74.8459415814682,3
13621,2022-12-29 23:10:40.958496094+00:00,-70.06457312692719,74.36319511566288,3
13622,2022-12-29 23:10:46.958496094+00:00,-70.40393825160369,73.86846120135205,3
13623,2022-12-29 23:10:52.958496094+00:00,-70.74729473252373,73.35019178334753,3
13624,2022-12-29 23:10:58.958480835+00:00,-71.08452799601694,72.81910883929136,3
13625,2022-12-29 23:11:04.958480835+00:00,-71.42295530996924,72.26882274970524,3
13626,2022-12-29 23:11:10.958480835+00:00,-71.7600907748412,71.70284804476134,3
13627,2022-12-29 23:11:16.958480835+00:00,-72.0914008623117,71.11885495699765,3
